@relation anneal
@attribute 'family' {'NF','GB','GK','GS','TN','ZA','ZF','ZH','ZM','ZS'}
@attribute 'product-type' {'C','H','G'}
@attribute 'steel' {'NF','R','A','U','K','M','S','W','V'}
@attribute 'carbon' real
@attribute 'hardness' real
@attribute 'temper_rolling' {'NF','T'}
@attribute 'condition' {'NF','S','A','X'}
@attribute 'formability' {'NF','1','2','3','4','5'}
@attribute 'strength' real
@attribute 'non-ageing' {'NF','N'}
@attribute 'surface-finish' {'NF','P','M'}
@attribute 'surface-quality' {'NF','D','E','F','G'}
@attribute 'enamelability' {'NF','1','2','3','4','5'}
@attribute 'bc' {'NF','Y'}
@attribute 'bf' {'NF','Y'}
@attribute 'bt' {'NF','Y'}
@attribute 'bw/me' {'NF','B','M'}
@attribute 'bl' {'NF','Y'}
@attribute 'm' {'NF','Y'}
@attribute 'chrom' {'NF','C'}
@attribute 'phos' {'NF','P'}
@attribute 'cbond' {'NF','Y'}
@attribute 'marvi' {'NF','Y'}
@attribute 'exptl' {'NF','Y'}
@attribute 'ferro' {'NF','Y'}
@attribute 'corr' {'NF','Y'}
@attribute 'blue/bright/varn/clean' {'NF','B','R','V','C'}
@attribute 'lustre' {'NF','Y'}
@attribute 'jurofm' {'NF','Y'}
@attribute 's' {'NF','Y'}
@attribute 'p' {'NF','Y'}
@attribute 'shape' {'COIL','SHEET'}
@attribute 'thick' real
@attribute 'width' real
@attribute 'len' real
@attribute 'oil' {'NF','Y','N'}
@attribute 'bore' {'0','500','600','760'}
@attribute 'packing' {'NF','1','2','3'}
@attribute 'class' {'1','2','3','5','U'}
@data
'TN','C','NF',0,0,'NF','A','1',0,'NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','Y','NF','NF','NF','NF','NF','NF','SHEET',0.5,609.9,3000,'NF','0','NF','5'
'TN','C','A',0,0,'NF','NF','3',0,'N','NF','NF','NF','NF','NF','NF','NF','NF','NF','C','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','COIL',0.6,50,0,'NF','0','NF','5'
'TN','C','A',0,0,'NF','NF','3',0,'N','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','Y','NF','NF','NF','NF','NF','NF','COIL',1.6,610,0,'NF','0','NF','5'
'TN','C','A',0,0,'NF','NF','3',0,'N','NF','NF','NF','NF','NF','NF','B','NF','NF','NF','NF','NF','NF','NF','Y','NF','NF','NF','NF','NF','NF','SHEET',1.6,610,4880,'NF','0','NF','5'
'TN','C','A',0,0,'NF','NF','3',0,'N','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','Y','NF','NF','NF','NF','NF','NF','SHEET',1.6,610,761,'NF','0','NF','5'
'TN','C','A',0,0,'NF','NF','3',0,'N','NF','NF','NF','NF','NF','NF','B','NF','NF','NF','NF','NF','NF','NF','Y','NF','NF','NF','NF','NF','NF','SHEET',0.6,1220,762,'NF','0','NF','5'
'NF','C','R',0,0,'NF','S','3',0,'NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','SHEET',0.8,609.9,762,'NF','0','NF','2'
'NF','C','R',0,0,'NF','S','2',0,'NF','NF','NF','NF','NF','NF','NF','NF','Y','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','SHEET',1.599,1500,612,'NF','0','NF','2'
'NF','C','M',0,0,'NF','NF','NF',600,'NF','NF','G','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','COIL',1.6,1090,0,'NF','0','NF','2'
'NF','C','R',0,0,'NF','S','2',0,'NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','NF','SHEET',0.8,610,4880,'NF','0','NF','2'
