
@relation balance-scale
@attribute left-weight real
@attribute left-distance real
@attribute right-weight real
@attribute right-distance real
@attribute class {L,B,R}
@data
1,3,2,3,R
1,1,2,3,R
1,1,4,2,R
1,2,4,3,R
2,4,5,5,R
2,2,4,2,R
1,2,2,2,R
2,3,5,4,R
1,1,2,1,R
2,2,3,5,R
4,1,3,3,R
2,3,5,3,R
3,5,4,4,R
1,2,1,3,R
2,5,5,4,R
3,4,4,4,R
1,2,1,4,R
1,1,4,1,R
3,4,5,3,R
1,4,3,2,R
2,1,1,4,R
3,2,2,5,R
2,5,4,4,R
2,2,4,5,R
1,5,5,4,R
3,3,5,5,R
4,5,5,5,R
1,4,3,4,R
2,2,1,4,B
2,3,3,2,B
3,5,5,3,B
3,5,3,5,B
4,1,1,2,L
3,4,4,2,L
4,4,1,1,L
2,4,2,2,L
4,5,4,2,L
5,4,4,2,L
4,4,4,1,L
5,5,1,2,L
5,5,1,4,L
2,4,4,1,L
4,1,1,1,L
2,4,3,2,L
4,5,3,1,L
3,5,3,4,L
4,3,3,1,L
2,4,3,1,L
5,3,1,4,L
3,4,1,2,L
4,5,4,1,L
3,2,3,1,L
2,3,2,1,L
5,3,3,3,L
4,1,2,1,L
4,2,4,1,L
5,4,2,2,L
2,5,2,4,L
3,5,3,2,L
5,4,2,5,L
2,2,4,1,B
4,4,2,3,L
