
@relation cmc

@attribute age real
@attribute wife-education {1,2,3,4}
@attribute husband-education {1,2,3,4}
@attribute child real
@attribute wife-religion {0,1}
@attribute wife-working {0,1}
@attribute husband-occupation {1,2,3,4}
@attribute living-standard {1,2,3,4}
@attribute media {0,1}
@attribute class {1,2,3}

@data
39,4,4,2,1,0,1,4,0,1
31,3,4,3,0,0,2,4,0,1
27,4,4,3,1,1,1,4,0,1
24,3,4,0,1,0,2,3,0,1
25,4,4,2,1,1,3,2,0,1
22,2,3,1,1,1,2,1,0,1
32,3,3,7,1,0,2,3,0,1
23,4,4,1,1,1,2,3,0,1
40,4,4,3,1,1,3,4,0,1
49,1,2,5,1,0,2,2,1,1
35,1,2,0,1,0,4,4,0,1
26,2,2,3,1,1,2,1,0,1
35,1,3,0,1,1,2,2,1,1
36,2,2,0,0,0,3,3,0,1
41,1,4,4,1,1,3,3,0,1
44,1,2,7,1,1,3,4,0,1
36,3,3,2,1,0,2,4,0,1
29,4,4,0,1,0,2,4,0,1
21,3,4,0,1,1,2,3,0,1
32,2,3,4,0,1,2,4,0,1
22,4,4,0,1,1,3,2,0,1
30,2,4,2,1,1,3,4,0,1
21,4,4,1,1,1,3,4,0,1
44,4,4,3,1,0,1,4,1,1
20,3,4,0,1,1,3,3,0,1
45,1,3,10,1,1,3,4,0,1
25,3,3,4,1,1,3,2,0,1
47,1,1,1,1,1,3,4,0,1
21,4,4,1,1,1,1,4,0,1
38,2,2,10,1,1,3,2,0,1
25,2,4,1,1,1,2,2,0,1
42,4,4,3,1,0,1,4,0,1
28,4,4,5,1,1,1,4,0,1
28,2,4,0,1,1,3,1,0,1
34,4,4,1,0,0,2,3,0,1
48,1,1,1,1,0,3,3,1,1
22,4,4,2,1,1,1,3,0,1
48,1,3,4,1,1,3,3,1,1
32,2,3,1,1,1,3,3,0,1
28,1,4,0,1,0,4,1,0,1
26,2,4,3,1,1,3,4,0,1
34,3,4,4,1,1,1,3,0,1
22,3,4,2,1,1,2,3,0,1
23,3,4,2,1,1,3,4,0,1
31,4,4,0,1,0,1,4,0,1
21,2,4,2,1,1,3,1,0,1
22,2,4,1,1,1,3,4,0,1
20,2,2,2,1,1,2,2,1,1
48,1,3,4,1,1,3,4,1,1
24,2,2,2,1,1,3,1,1,1
20,3,4,1,1,1,3,2,0,1
43,2,3,7,1,1,3,4,0,1
21,1,3,0,1,0,3,4,1,1
47,2,3,4,1,1,2,3,0,1
24,2,2,3,1,1,2,4,0,1
35,4,4,1,1,1,1,3,0,1
25,2,3,1,1,0,2,1,0,1
45,4,4,1,1,1,1,4,0,1
29,3,4,4,1,0,1,3,0,1
44,4,4,1,1,0,1,4,0,1
31,3,4,0,1,0,2,3,0,1
38,3,3,7,1,1,3,1,0,1
48,3,4,8,1,0,1,4,0,3
28,4,4,4,1,1,2,3,0,3
28,3,4,2,1,1,2,3,0,3
35,2,3,5,1,1,3,3,0,3
27,3,3,3,1,1,2,3,0,3
