@relation Glass_Identification_Database
@attribute RI real [1.51115,1.53393]
@attribute Na real [10.73,17.38]
@attribute Mg real [0,4.49]
@attribute Al real [0.29,3.5]
@attribute Si real [69.81,75.41]
@attribute K real [0,6.21]
@attribute Ca real [5.43,16.19]
@attribute Ba real [0,3.15]
@attribute Fe real [0,0.51]
@attribute class {1,2,3,4,5,6,7}
@data
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,1
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0,0,1
1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16,1
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,1
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,1
1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0,0,1
1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,1
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2
1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,2
1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0,2
1.52664,11.23,0,0.77,73.21,0,14.68,0,0,2
1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0,0,2
1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,2
1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17,2
1.52739,11.02,0,0.75,73.08,0,14.96,0,0,2
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,3
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,3
1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,5
1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0,0,5
1.51115,17.38,0,0.34,75.41,0,6.65,0,0,6
1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0,7
1.51617,14.95,0,2.27,73.3,0,8.71,0.67,0,7
1.51645,14.94,0,1.87,73.11,0,8.67,1.38,0,7
