@relation fis
@attribute a00 real [0,1]
@attribute a01 real [0,1]
@attribute a02 real [0,1]
@attribute a03 real [0,1]
@attribute a04 real [0,1]
@attribute a05 real [0,1]
@attribute a06 real [0,1]
@attribute a07 real [0,1]
@attribute a08 real [0,1]
@attribute a09 real [0,1]
@attribute a10 real [0,1]
@attribute a11 real [0,1]
@attribute a12 real [0,1]
@attribute a13 real [0,1]
@attribute a14 real [0,1]
@attribute a15 real [0,1]
@attribute a16 real [0,1]
@attribute a17 real [0,1]
@attribute a18 real [0,1]
@attribute a19 real [0,1]
@attribute a20 real [0,1]
@attribute class {0,1}
@data
0.092051,0.146871,0.168254,0.116073,0.145117,0.144276,0.145663,0.145912,0.127429,0.143749,0.138491,0.138517,0.153471,0.173885,0.127195,0.194446,0.147258,0.0794175,0.154157,0.145234,0.145233,1
0.209652,0.316229,0.330244,0.334539,0.315548,0.397018,0.315795,0.405282,0.280821,0.350414,0.330313,0.330364,0.318418,0.22986,0.420704,0.388742,0.31583,0.169691,0.320361,0.315185,0.40148,1
0.0575948,0.0736051,0.132864,0.157912,0.402953,0.548579,0.393726,0.541813,0.145119,0.144091,0.146679,0.146698,0.0408507,0,0.302721,0.0986537,0.0627996,0.355142,0.0447665,0.397784,0.545596,0
0.057234,0.0938816,0.120197,0.10722,0.167257,0.124661,0.165831,0.1257,0.0987808,0.121582,0.113861,0.113887,0.0981084,0.110894,0.173851,0.150974,0.0936023,0.0762854,0.0993404,0.166511,0.12505,1
0.0793851,0.160615,0.247346,0.206569,0.706824,0.788949,0.693724,0.775671,0.21924,0.218685,0.220279,0.220295,0.189829,0.035529,0.491871,0.316814,0.153768,0.281861,0.196042,0.69946,0.783014,1
0.136382,0.18423,0.204502,0.20749,0.179957,0.144985,0.18016,0.150646,0.185737,0.213179,0.206026,0.206048,0.172826,0.15694,0.200931,0.237381,0.182951,0.140215,0.174189,0.179791,0.148111,1
0.209785,0.29534,0.386556,0.365582,0.576814,0.7184,0.57278,0.721218,0.348607,0.383163,0.372264,0.372316,0.266003,0.0819746,0.479841,0.373898,0.287546,0.36326,0.270665,0.57451,0.720638,1
0.0675832,0.115755,0.161207,0.154334,0.266286,0.335745,0.262055,0.333812,0.150774,0.154704,0.153426,0.153452,0.121499,0.0667043,0.227165,0.239456,0.112758,0.159025,0.124718,0.263807,0.335007,0
0.0784451,0.107254,0.180883,0.15963,0.231286,0.450094,0.226672,0.445981,0.181118,0.156923,0.165927,0.165934,0.0989682,0.0283022,0.191018,0.201757,0.101716,0.225026,0.102986,0.228577,0.448594,0
0.263535,0.269095,0.458683,0.363661,0.696476,0.820629,0.693434,0.821978,0.390961,0.409205,0.401727,0.401761,0.177616,0.0372211,0.451891,0.363447,0.254388,0.541422,0.183683,0.694433,0.821699,1
0.000655134,0.0258094,0.0533895,0.0316884,0.0741689,0.126492,0.0717288,0.123415,0.0345666,0.0416072,0.0373652,0.0373738,0.0665579,0.0243186,0.120641,0.0711772,0.0267949,0.0137341,0.0676792,0.0727251,0.124919,0
0.0407322,0.0692659,0.0553421,0.037303,0.0312979,0.0348155,0.0313925,0.0358606,0.0464353,0.0433147,0.0456103,0.045617,0.0812627,0.297387,0.0227318,0.0817643,0.0705534,0.0230488,0.0808714,0.0312323,0.0353603,0
0.0721787,0.0561354,0.102235,0.0859779,0.0720083,0.117454,0.0714049,0.118209,0.0997193,0.0871572,0.0921319,0.0921458,0.0225135,0.0599886,0.0540636,0.0657477,0.0515778,0.177038,0.0239195,0.0714884,0.117931,0
0.222594,0.336651,0.398059,0.380022,0.437034,0.525632,0.434587,0.529712,0.358679,0.395923,0.385972,0.386029,0.357865,0.134801,0.515706,0.558959,0.332564,0.277519,0.362385,0.435353,0.528098,0
0.150206,0.184198,0.304372,0.24354,0.485053,0.330076,0.480125,0.327205,0.280655,0.259666,0.265006,0.26501,0.123938,0.0116746,0.312376,0.249936,0.172171,0.43266,0.127582,0.482455,0.328727,0
0.327035,0.615473,0.557858,0.475856,0.644917,0.971481,0.641777,0.973313,0.510384,0.503172,0.509357,0.509463,0.744999,0.23244,0.517019,0.770953,0.61167,0.381957,0.74652,0.642238,0.972979,0
0.00817493,0.00830739,0.00824217,0.00363404,0.00940615,0.0032974,0.00863368,0.00321763,0.00626203,0.00407741,0.00526291,0.00526002,0.00856321,0.132298,0.00350278,0.0167177,0.00920973,0.00853961,0.00852283,0.00900519,0.00318023,0
0.0503788,0.0550707,0.0868463,0.0735973,0.16463,0.0829223,0.163391,0.0840543,0.068397,0.0778174,0.0765149,0.0764994,0.0413245,0.0750416,0.0968459,0.0697036,0.0535244,0.0943255,0.0421975,0.163942,0.0836122,0
0.172699,0.205668,0.203639,0.181554,0.133552,0.1293,0.135512,0.135565,0.190353,0.191462,0.191111,0.191112,0.158454,0.269596,0.104592,0.222008,0.20546,0.119156,0.15907,0.13447,0.132443,1
0.0965515,0.103625,0.180132,0.114548,0.221853,0.248068,0.220801,0.247057,0.131187,0.150373,0.144541,0.144579,0.0633116,0.0518804,0.201543,0.143807,0.0999984,0.171073,0.0657178,0.221109,0.247767,1
0.179507,0.29171,0.374171,0.354344,0.588746,0.486975,0.582748,0.486888,0.358732,0.360571,0.358107,0.358149,0.325893,0.0743659,0.4569,0.452372,0.283522,0.372661,0.33062,0.585326,0.487708,1
0.0566738,0.0743794,0.0631587,0.069802,0.0823536,0.038513,0.0809132,0.0394333,0.0663865,0.06721,0.0663279,0.0663373,0.0620657,0.149501,0.0630984,0.0786526,0.0741195,0.0674013,0.0626801,0.0814755,0.0388788,0
0.307856,0.509299,0.438788,0.462306,0.361424,0.412843,0.363225,0.426468,0.416421,0.468183,0.449642,0.449669,0.567716,0.276083,0.40782,0.681591,0.51033,0.208926,0.568408,0.361654,0.419747,1
0.196948,0.226122,0.458195,0.295739,0.687951,0.504879,0.683556,0.499443,0.362215,0.378997,0.372459,0.372511,0.129957,0.026751,0.474083,0.303923,0.21027,0.555206,0.137285,0.685347,0.503146,1
0.247223,0.28629,0.382006,0.27434,0.101804,0.4057,0.107152,0.412124,0.298276,0.319751,0.317712,0.317754,0.229048,0.16429,0.287188,0.344254,0.280758,0.297563,0.231158,0.104038,0.409013,0
0.0210877,0.0163567,0.0388828,0.0283446,0.115706,0.0928256,0.113787,0.0919633,0.0383691,0.0295716,0.0323981,0.032405,0.00522917,0.0222387,0.0237303,0.0235564,0.0146407,0.0838187,0.00597119,0.114678,0.0923752,0
0.054547,0.056458,0.0462613,0.0619674,0.0268873,0.0316674,0.0266816,0.0344529,0.0407922,0.0630032,0.0565178,0.0565237,0.0427985,0.191776,0.0590561,0.0465048,0.0569596,0.0387863,0.0428224,0.0267639,0.0329214,0
0.17474,0.151727,0.194101,0.156079,0.0622101,0.194938,0.0644048,0.199325,0.162295,0.181931,0.175069,0.175089,0.0971959,0.169261,0.126438,0.165796,0.148174,0.188443,0.0983683,0.0631078,0.197199,1
