@relation fis
@attribute a00 real [0,1]
@attribute a01 real [0,1]
@attribute a02 real [0,1]
@attribute a03 real [0,1]
@attribute a04 real [0,1]
@attribute a05 real [0,1]
@attribute a06 real [0,1]
@attribute a07 real [0,1]
@attribute a08 real [0,1]
@attribute a09 real [0,1]
@attribute a10 real [0,1]
@attribute a11 real [0,1]
@attribute a12 real [0,1]
@attribute a13 real [0,1]
@attribute a14 real [0,1]
@attribute a15 real [0,1]
@attribute a16 real [0,1]
@attribute a17 real [0,1]
@attribute a18 real [0,1]
@attribute a19 real [0,1]
@attribute a20 real [0,1]
@attribute class {0,1}
@data
0.0770399,0.147097,0.182116,0.175894,0.202217,0.302816,0.199998,0.303647,0.152837,0.177186,0.168704,0.168693,0.168527,0.0324267,0.291375,0.290889,0.146685,0.101927,0.171047,0.200459,0.303181,0
0.238317,0.244028,0.295172,0.270899,0.382701,0.332577,0.379683,0.334037,0.294401,0.262103,0.273604,0.273631,0.166228,0.0667043,0.269134,0.305246,0.236721,0.328068,0.17004,0.380637,0.333216,0
0.0982131,0.0942203,0.195891,0.162431,0.311585,0.283397,0.307567,0.280895,0.182449,0.169057,0.172483,0.172497,0.0436232,0.0155641,0.186187,0.115429,0.0827403,0.381894,0.0469363,0.3091,0.282628,0
0.00671275,0.0127595,0.0166345,0.0138775,0.037645,0.0426344,0.0362485,0.0420209,0.016181,0.0133551,0.0145959,0.0145963,0.0160736,0.0632319,0.0254616,0.0338002,0.0132993,0.020302,0.016386,0.0368908,0.0422977,0
0.0175557,0.0171632,0.0224172,0.00856693,0.0049171,0.00444045,0.00470788,0.00470704,0.0144132,0.0128894,0.0139899,0.0139853,0.0131607,0.188996,0.00452543,0.0185633,0.0180759,0.0118122,0.0130706,0.00483353,0.00455854,0
0.0686656,0.112884,0.216556,0.148751,0.522713,0.543215,0.516313,0.537011,0.18761,0.173248,0.175608,0.175643,0.11062,0.0243186,0.204611,0.20366,0.107229,0.229722,0.114841,0.519409,0.540305,0
0.201117,0.271982,0.286092,0.274464,0.251442,0.207395,0.251983,0.214079,0.272374,0.281745,0.278047,0.278084,0.236839,0.204279,0.185374,0.374943,0.270207,0.188515,0.238934,0.251221,0.211261,0
0.158998,0.236236,0.260264,0.244844,0.388307,0.326117,0.386051,0.329361,0.232593,0.25727,0.251021,0.251039,0.260704,0.121058,0.262338,0.270716,0.231127,0.266858,0.26209,0.387161,0.328346,0
0.0974915,0.141693,0.185014,0.154859,0.220548,0.354752,0.218285,0.354035,0.163788,0.165896,0.165765,0.165772,0.135099,0.119166,0.21499,0.231222,0.138555,0.173349,0.137615,0.219041,0.354852,0
0.262215,0.464407,0.46302,0.455028,0.425126,0.471505,0.420979,0.473711,0.441866,0.465187,0.452596,0.452724,0.52297,0.183744,0.572073,0.718589,0.46191,0.28862,0.52819,0.421612,0.472656,0
0.0575948,0.0736051,0.132864,0.157912,0.402953,0.548579,0.393726,0.541813,0.145119,0.144091,0.146679,0.146698,0.0408507,0,0.302721,0.0986537,0.0627996,0.355142,0.0447665,0.397784,0.545596,0
0.247223,0.28629,0.382006,0.27434,0.101804,0.4057,0.107152,0.412124,0.298276,0.319751,0.317712,0.317754,0.229048,0.16429,0.287188,0.344254,0.280758,0.297563,0.231158,0.104038,0.409013,0
0.0948995,0.196151,0.313434,0.269117,0.686071,0.652384,0.673494,0.640071,0.27006,0.283696,0.281568,0.281597,0.245262,0.0426148,0.683936,0.39679,0.189576,0.28886,0.252838,0.678949,0.646784,1
0.184444,0.30939,0.387413,0.34025,0.533391,0.61882,0.529047,0.618778,0.337741,0.362869,0.353173,0.353223,0.331807,0.126458,0.483416,0.516517,0.305639,0.258436,0.336747,0.530436,0.61943,1
0.168047,0.176149,0.288989,0.224753,0.48235,0.402011,0.478979,0.401338,0.252884,0.248261,0.24832,0.248347,0.13273,0.0648535,0.268659,0.242432,0.167329,0.342432,0.136608,0.480319,0.402259,1
0.17475,0.271208,0.386919,0.326174,0.657379,0.559382,0.651287,0.557222,0.382142,0.329489,0.344403,0.344402,0.242788,0.0899829,0.286415,0.414108,0.264465,0.324392,0.248603,0.654069,0.559053,1
0.189476,0.351072,0.34594,0.264792,0.28515,0.300149,0.286937,0.30483,0.275873,0.311746,0.301221,0.301286,0.427406,0.214008,0.292132,0.40963,0.351426,0.164986,0.427599,0.285522,0.302313,1
0.149465,0.225558,0.327603,0.259463,0.590966,0.424564,0.583919,0.419084,0.277099,0.284053,0.281129,0.281168,0.206201,0.0720275,0.430158,0.312722,0.217042,0.353959,0.211127,0.586942,0.422136,1
0.270665,0.434226,0.470761,0.474889,0.482343,0.714081,0.480117,0.720987,0.40056,0.478925,0.457758,0.457822,0.43174,0.159537,0.555308,0.417163,0.42687,0.407957,0.434005,0.480354,0.718174,1
0.0648867,0.107802,0.20101,0.157374,0.471789,0.462472,0.464528,0.455777,0.182376,0.16499,0.170746,0.17076,0.0981786,0.0194596,0.211512,0.193115,0.102158,0.227741,0.102829,0.467715,0.459522,1
0.305568,0.305454,0.500557,0.319579,0.444847,0.428293,0.448959,0.433057,0.378788,0.414214,0.402348,0.402382,0.207412,0.0789664,0.376746,0.291762,0.295627,0.42262,0.211144,0.446771,0.430994,1
