@relation 'NotasProcesadas-weka.filters.unsupervised.attribute.Remove-R1,13-18'
@attribute Ejercicio-EC1 real [0,10]
@attribute Ejercicio-EC2 real [0,9.75]
@attribute Midterm real [0,8.7]
@attribute Ejercicio-EC3 real [0,10]
@attribute ExamenFebrero real [0,9.7]
@attribute NP-EC1 real [0,1]
@attribute NP-EC2 real [0,1]
@attribute NP-Midterm real [0,1]
@attribute NP-EC3 real [0,1]
@attribute NP-EFebrero real [0,1]
@attribute class {APROBADO,BIEN,SUSPENDIDO,NOTABLE,EXCELENTE}
@data
7.9,0,6.5,2,5.5,0,1,0,0,0,APROBADO
10,7.75,6.6,2,6,0,0,0,0,0,BIEN
0,0,4.6,0,0,1,1,0,1,1,SUSPENDIDO
7.2,7,5.3,2,5.75,0,0,0,0,0,BIEN
9.3,5.5,6.35,2,4.15,0,0,0,0,0,SUSPENDIDO
7.9,4.5,5.45,2,5,0,0,0,0,0,APROBADO
6.8,5.5,5.55,2,8,0,0,0,0,0,NOTABLE
7.9,8.75,4.15,10,8.35,0,0,0,0,0,NOTABLE
10,8.25,6.25,0,7.2,0,0,0,1,0,NOTABLE
6.5,7.25,4.3,2,4,0,0,0,0,0,SUSPENDIDO
7.1,3,3.85,0,2.5,0,0,0,1,0,SUSPENDIDO
9.3,5.5,4.85,10,2.05,0,0,0,0,0,SUSPENDIDO
6.5,6.25,0.25,2,0,0,0,0,0,1,SUSPENDIDO
6.9,4.5,1.95,0,4.15,0,0,0,1,0,SUSPENDIDO
6.5,5,3.75,2,6.5,0,0,0,0,0,BIEN
9.3,6.5,0,0,0,0,0,1,1,1,SUSPENDIDO
3.2,0,3.1,4,4.45,0,1,0,0,0,SUSPENDIDO
6.5,0,5.3,2,5.65,0,1,0,0,0,APROBADO
7.2,0,3.75,10,4.2,0,0,0,0,0,SUSPENDIDO
9.3,8.75,6.6,10,5.65,0,0,0,0,0,NOTABLE
7.2,0,6.9,0,2.75,0,1,0,1,0,SUSPENDIDO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
7.9,7,6,2,7.55,0,0,0,0,0,NOTABLE
9.3,8,3.7,10,4.15,0,0,0,0,0,APROBADO
7.9,7,6.2,10,7.45,0,0,0,0,0,NOTABLE
7.9,0,1.8,0,1.35,0,1,0,1,0,SUSPENDIDO
7.2,6,3.6,2,3.15,0,0,0,0,0,SUSPENDIDO
10,5.5,5,2,4.55,0,0,0,0,0,SUSPENDIDO
5.2,3,2.95,2,5.05,0,0,0,0,0,SUSPENDIDO
0,0,6.65,0,0,1,1,0,1,1,SUSPENDIDO
7,8,5.6,10,6.9,0,0,0,0,0,NOTABLE
8.6,0,0,0,0,0,1,1,1,1,SUSPENDIDO
5.5,6.75,2.6,10,0,0,0,0,0,1,SUSPENDIDO
0,0,5.7,10,7.05,1,1,0,0,0,BIEN
8.6,7,3.3,10,4.3,0,0,0,0,0,SUSPENDIDO
5.8,0,6.15,2,6.15,0,1,0,0,0,APROBADO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
9.3,5.75,5.6,2,5.4,0,0,0,0,0,APROBADO
9.3,0,1.9,0,1.1,0,1,0,1,0,SUSPENDIDO
10,9.75,7.6,4,9.7,0,0,0,0,0,EXCELENTE
4.8,0,6,4,4.6,0,1,0,0,0,SUSPENDIDO
5.1,7.5,7.05,2,6.5,0,0,0,0,0,BIEN
9.3,6.25,7.1,2,6.05,0,0,0,0,0,BIEN
5.8,7,0,10,0,0,0,1,0,1,SUSPENDIDO
6.7,3.75,4.35,2,0,0,0,0,0,1,SUSPENDIDO
6.5,6.25,8,4,6.65,0,0,0,0,0,NOTABLE
9.3,8.75,6.2,10,9.25,0,0,0,0,0,EXCELENTE
5.8,7.25,4.25,0,3.15,0,0,0,1,0,SUSPENDIDO
0,5.5,0,0,0,1,0,1,1,1,SUSPENDIDO
9.3,8.5,8.55,7,8.55,0,0,0,0,0,NOTABLE
5.1,0,3.5,2,2.9,0,1,0,0,0,SUSPENDIDO
6.5,6.25,2.75,0,3,0,0,0,1,0,SUSPENDIDO
5.8,8.25,0,2,0,0,0,1,0,1,SUSPENDIDO
8.3,8.75,4.5,10,4.55,0,0,0,0,0,APROBADO
7.9,6.75,7,4,7.85,0,0,0,0,0,NOTABLE
10,8,7.8,10,4,0,0,0,0,0,BIEN
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
7.2,7.25,5,10,4.25,0,0,0,0,0,APROBADO
8.6,6.5,4.2,10,6,0,0,0,0,0,BIEN
0,0,0,2,0,1,1,1,0,1,SUSPENDIDO
7.9,3.25,4.85,10,5.6,0,0,0,0,0,BIEN
7.9,8.25,7.45,0,6.15,0,0,0,1,0,BIEN
9.3,7,4.1,2,2.15,0,0,0,0,0,SUSPENDIDO
5.8,7,4.5,2,6.6,0,0,0,0,0,BIEN
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
7.9,0,0,2,7.9,0,1,1,0,0,APROBADO
5.8,0,0,0,0,0,1,1,1,1,SUSPENDIDO
5.1,5.75,1.1,0,3.35,0,0,0,1,0,SUSPENDIDO
5.1,4.5,2,0,3.3,0,0,0,1,0,SUSPENDIDO
9.3,3.75,4.8,0,0,0,0,0,1,1,SUSPENDIDO
9.3,0,5.9,10,5.8,0,1,0,0,0,BIEN
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
0,0,0,0,0,1,1,1,1,1,SUSPENDIDO
8.6,6.75,4.85,10,3.9,0,0,0,0,0,APROBADO
7.9,7.5,7.2,2,6.25,0,0,0,0,0,BIEN
7.9,6.5,3.8,2,5.05,0,0,0,0,0,SUSPENDIDO
