@relation vehicle

@attribute 'COMPACTNESS' real
@attribute 'CIRCULARITY' real
@attribute 'DISTANCE_CIRCULARITY' real
@attribute 'RADIUS_RATIO' real
@attribute 'PR.AXIS_ASPECT_RATIO' real
@attribute 'MAX.LENGTH_ASPECT_RATIO' real
@attribute 'SCATTER_RATIO' real
@attribute 'ELONGATEDNESS' real
@attribute 'PR.AXIS_RECTANGULARITY' real
@attribute 'MAX.LENGTH_RECTANGULARITY' real
@attribute 'SCALED_VARIANCE_MAJOR' real
@attribute 'SCALED_VARIANCE_MINOR' real
@attribute 'SCALED_RADIUS_OF_GYRATION'  real
@attribute 'SKEWNESS_ABOUT_MAJOR' real
@attribute 'SKEWNESS_ABOUT_MINOR' real
@attribute 'KURTOSIS_ABOUT_MAJOR' real
@attribute 'KURTOSIS_ABOUT_MINOR' real
@attribute 'HOLLOWS_RATIO' real
@attribute 'Class' {opel,saab,bus,van}

@data
102,48,105,214,64,10,201,33,23,152,214,600,178,64,0,25,192,204,saab
89,37,54,119,53,5,134,50,18,127,151,266,146,79,16,14,184,185,saab
109,53,103,210,63,11,219,30,25,172,229,707,212,71,6,3,188,199,saab
91,45,79,176,59,9,163,40,20,148,184,404,179,62,0,10,199,208,saab
108,49,103,200,62,10,206,32,23,155,227,635,215,72,6,16,189,198,saab
115,51,100,201,60,12,196,34,23,162,207,573,184,62,22,1,198,208,saab
107,55,103,213,68,11,219,30,25,172,221,709,216,70,10,7,187,197,saab
90,50,90,188,61,10,181,36,21,158,211,492,220,69,6,19,191,199,saab
91,39,88,189,63,9,175,38,21,132,197,457,156,69,0,23,191,198,saab
98,39,81,191,64,9,166,40,20,138,184,415,131,62,8,19,197,205,saab
89,47,83,169,61,8,164,40,20,150,189,402,190,72,7,10,187,193,saab
84,36,75,136,55,6,140,48,18,125,166,290,138,71,4,36,189,195,saab
104,53,101,199,65,11,213,31,24,168,216,667,221,72,12,12,187,198,saab
101,56,101,231,72,10,217,31,24,171,232,698,216,72,2,6,187,197,saab
93,43,76,149,57,7,149,44,19,143,172,335,176,69,14,0,189,194,saab
92,46,83,154,56,6,160,41,20,148,185,382,184,71,10,5,186,191,saab
105,54,100,220,69,10,221,30,25,170,232,718,202,73,0,13,187,199,saab
108,51,100,206,63,10,196,34,23,159,214,576,201,65,7,16,194,205,saab
105,51,108,201,62,11,220,30,25,163,232,711,202,72,12,16,189,200,saab
91,36,83,162,61,8,142,47,19,128,163,298,137,63,0,31,193,200,saab
106,53,98,176,54,10,216,31,24,171,235,691,218,74,1,9,187,197,saab
114,57,102,181,52,6,257,26,28,169,287,968,261,85,2,21,182,184,bus
86,43,61,119,53,8,150,46,19,144,169,326,172,85,8,8,179,182,bus
86,45,71,170,70,6,146,45,19,146,172,321,189,71,10,8,187,191,bus
107,57,102,184,55,7,234,28,26,171,243,822,229,77,7,11,187,187,bus
78,43,70,147,65,8,147,46,19,145,169,319,168,77,1,12,181,186,bus
88,44,70,151,61,8,143,46,18,143,163,311,173,68,7,8,196,203,bus
97,37,70,173,66,7,151,43,19,129,167,346,119,65,0,16,201,208,bus
100,36,73,199,73,6,162,40,20,127,189,401,125,72,6,19,200,204,bus
85,45,70,120,54,7,149,45,19,145,169,326,186,81,8,4,181,184,bus
94,39,75,184,72,8,155,42,19,133,175,365,145,70,4,5,192,200,bus
97,49,76,203,73,7,178,36,21,157,194,487,186,72,0,7,197,200,bus
103,52,103,170,52,7,236,28,26,160,254,816,250,82,3,23,183,184,bus
99,47,91,226,74,5,202,32,23,148,234,629,186,79,4,11,192,191,bus
85,45,70,130,58,8,151,45,19,146,171,334,187,79,2,5,181,186,bus
79,43,72,141,62,8,153,44,19,144,175,344,174,78,0,8,182,188,bus
95,47,73,195,70,7,167,38,20,152,184,430,185,69,9,19,200,206,bus
91,42,81,193,69,5,169,38,20,137,184,434,156,68,3,23,198,204,bus
82,44,72,136,61,7,147,46,19,143,173,317,183,81,6,17,181,185,bus
86,44,70,140,64,6,148,45,19,145,170,322,185,82,10,1,181,183,bus
81,42,63,125,55,8,149,46,19,145,166,320,172,86,7,7,179,182,bus
85,43,66,123,55,7,150,45,19,146,172,326,173,83,4,15,180,183,bus
89,42,75,140,55,6,145,46,19,139,170,312,166,71,15,26,191,198,opel
101,52,105,162,53,10,212,31,24,163,226,669,204,74,12,11,186,194,opel
103,41,83,194,63,9,175,38,21,142,199,455,138,65,7,30,197,206,opel
99,55,101,206,62,13,222,30,25,180,225,722,213,71,2,3,186,196,opel
100,58,109,230,70,11,226,30,25,182,234,752,207,72,0,13,187,198,opel
108,51,103,197,60,11,211,31,24,160,222,661,187,67,7,3,190,200,opel
80,38,64,130,59,8,134,51,18,126,152,259,135,76,1,23,179,188,opel
105,52,107,207,60,11,218,31,24,167,221,701,197,66,0,20,191,203,opel
89,41,75,143,56,7,146,46,19,137,170,317,156,76,18,5,184,188,opel
101,56,100,215,69,10,208,32,24,169,227,651,223,74,6,5,186,193,opel
85,40,66,121,52,4,152,44,19,133,170,340,163,87,13,3,180,183,opel
103,57,105,221,69,11,218,30,24,173,226,706,250,73,10,2,187,195,opel
97,48,105,212,64,11,201,33,23,155,212,602,162,64,2,7,193,202,opel
96,47,103,215,69,10,200,33,23,147,220,598,200,73,6,6,187,194,opel
98,55,108,168,53,11,224,30,25,178,231,737,217,73,8,30,187,198,opel
90,41,78,145,55,7,138,48,18,138,161,284,158,67,0,1,192,197,opel
104,52,101,206,62,10,198,33,23,161,207,587,204,64,2,5,195,204,opel
97,48,94,198,63,9,181,36,21,155,200,494,189,64,20,11,199,203,opel
92,42,69,153,58,8,140,48,18,138,165,290,151,64,10,21,199,206,opel
77,38,63,135,59,5,130,52,18,130,145,247,139,79,13,21,183,187,opel
103,55,100,194,62,11,212,31,24,175,217,666,219,73,10,14,187,194,opel
85,45,71,150,63,8,143,46,19,147,171,307,179,72,2,3,187,196,van
91,44,66,151,63,7,137,48,18,146,166,280,167,72,1,9,188,194,van
93,41,82,159,63,9,144,46,19,143,160,309,127,63,6,10,199,207,van
89,41,84,141,58,9,149,45,19,145,172,330,162,72,4,18,188,200,van
86,44,78,164,68,9,142,46,18,147,168,305,171,70,1,11,190,201,van
95,49,82,139,56,11,159,43,20,162,173,365,185,75,7,10,182,191,van
93,42,70,131,56,7,127,53,18,145,156,240,152,74,5,4,189,190,van
94,45,85,163,68,10,157,44,20,156,170,357,176,73,17,11,187,195,van
83,37,62,113,53,6,122,55,17,129,143,218,135,79,0,7,181,185,van
97,45,91,161,63,10,151,45,19,148,166,334,171,65,18,20,197,205,van
89,40,60,131,56,6,118,56,17,137,143,209,153,65,10,8,193,199,van
89,36,68,149,60,8,133,50,18,134,153,265,119,62,6,18,201,209,van
83,40,59,116,53,7,132,52,18,137,145,250,157,84,12,6,177,183,van
93,43,78,162,64,8,137,48,18,145,156,281,159,63,17,12,203,210,van
91,39,82,164,68,10,143,46,19,137,164,308,158,68,13,9,191,201,van
88,35,60,143,59,7,128,52,18,129,147,246,109,62,1,6,202,209,van
90,46,80,143,62,11,159,43,20,156,169,366,186,74,17,7,185,193,van
89,47,81,147,64,11,156,44,20,163,170,352,188,76,6,13,184,193,van
93,45,83,142,56,10,157,43,20,155,180,364,188,75,1,21,184,197,van
88,43,70,177,74,19,152,44,19,143,180,342,168,76,1,9,186,189,bus
104,56,96,231,74,11,220,30,25,172,223,713,218,73,6,16,186,195,opel
