Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 61.92      0.26     0.26      779     0.33     0.40  DataSet::sort(unsigned int)
  4.76      0.28     0.02  5904828     0.00     0.00  DataSet::getValueAt(unsigned int, unsigned int) const
  4.76      0.30     0.02      513     0.04     0.50  BinaryTree::variableSplit(int, DataSet*, float*, float**, float**, float**, float**)
  4.76      0.32     0.02        1    20.00    32.50  DataSet::readData(std::string const&)
  4.76      0.34     0.02                             BinaryTree::BinaryTree(unsigned int, DataSet*)
  2.38      0.35     0.01 13374458     0.00     0.00  DataSet::getOutputVariableAt(unsigned int) const
  2.38      0.36     0.01  2236280     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  2.38      0.37     0.01  2236280     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  2.38      0.38     0.01  2236280     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  2.38      0.39     0.01  2235254     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIiE9constructIiJRKiEEEvPT_DpOT0_
  2.38      0.40     0.01  2235254     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  2.38      0.41     0.01   266686     0.00     0.00  DataSet::extractValue(std::string, unsigned int&, char*) const
  1.19      0.42     0.01  2985400     0.00     0.00  DataSet::getNumberOfInstances() const
  1.19      0.42     0.01     9315     0.00     0.00  DataSet::readLine(std::basic_ifstream<char, std::char_traits<char> >&, std::string&) const
  0.00      0.42     0.00  5935611     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.42     0.00  2985113     0.00     0.00  std::vector<NominalFeature, std::allocator<NominalFeature> >::push_back(NominalFeature const&)
  0.00      0.42     0.00  2782174     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::base() const
  0.00      0.42     0.00  2772740     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::operator++()
  0.00      0.42     0.00  2772740     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::string>::operator*() const
  0.00      0.42     0.00  2236394     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.42     0.00  2236318     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.42     0.00  2236280     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
